OBJECTID,subveg15,subgeol2g,subflocum3c,subwinrad3
1,3,3,1,1
2,3,3,2,2
3,1,2,1,3
4,14,4,1,2
5,4,2,1,3
6,1,1,1,2
7,5,4,2,2
8,1,2,1,2
9,1,3,1,2
10,8,5,1,3
11,4,2,1,3
12,3,2,1,2
13,1,1,2,3
14,0,4,2,3
15,8,4,3,3
16,10,2,2,2
17,10,4,1,2
18,3,1,1,3
19,1,1,1,2
20,12,2,2,2
21,1,3,1,3
22,10,4,3,3
23,4,3,1,3
24,4,1,1,3
25,1,3,1,3
26,3,3,1,2
27,2,3,1,2
28,1,2,2,2
29,3,1,1,2
30,10,2,1,3
31,1,1,1,3
32,5,1,1,3
33,4,2,2,2
34,1,3,3,2
35,1,1,1,2
36,3,3,2,3
37,10,1,1,3
38,12,4,1,3
39,3,2,2,2
40,3,1,1,3
41,4,4,1,2
42,3,2,3,2
43,3,1,1,2
44,1,5,1,3
45,1,4,1,3
46,4,1,1,2
47,8,5,1,3
48,3,4,1,2
49,1,3,2,2
50,4,1,1,3
51,5,2,2,2
52,3,2,2,2
53,4,5,1,3
54,10,4,2,3
55,10,4,2,3
56,3,1,1,2
57,4,5,1,3
58,4,4,1,3
59,3,1,1,2
60,4,1,1,3
61,2,3,2,2
62,4,2,1,1
63,8,5,2,3
64,4,5,1,3
65,1,2,1,3
66,4,5,1,3
67,3,4,1,2
68,4,5,2,3
69,4,5,1,3
70,1,2,1,2
71,3,2,1,2
72,3,3,1,3
73,14,1,2,3
74,10,2,1,3
75,1,2,1,2
76,4,2,1,2
77,4,3,1,3
78,1,5,2,3
79,10,4,1,2
80,3,3,1,1
81,1,3,1,2
82,4,5,3,2
83,10,4,1,3
84,10,2,1,2
85,4,2,1,2
86,10,1,1,3
87,11,5,1,3
88,3,1,1,2
89,10,1,1,2
90,1,5,2,2
91,5,1,2,3
92,4,3,1,3
93,3,4,1,2
94,1,4,1,2
95,10,4,1,2
96,1,3,1,2
97,1,4,1,2
98,4,2,1,3
99,14,1,1,3
100,1,1,1,2
101,3,1,1,2
102,3,3,1,1
103,3,1,1,2
104,0,4,1,3
105,10,4,2,2
106,3,3,3,2
107,4,5,2,3
108,1,2,3,2
109,12,4,1,2
110,14,2,2,3
111,4,5,1,3
112,4,3,1,3
113,3,5,1,3
114,3,5,1,3
115,8,4,1,3
116,11,4,1,3
117,4,3,1,2
118,11,5,1,3
119,10,4,1,3
120,4,1,1,3
121,10,1,1,2
122,12,4,2,2
123,5,2,1,3
124,1,2,2,3
125,4,3,1,3
126,10,4,1,2
127,1,1,2,2
128,3,5,2,3
129,1,1,1,3
130,11,5,1,3
131,1,1,1,3
132,10,4,1,2
133,10,5,2,3
134,3,3,2,2
135,1,2,1,3
136,1,4,2,2
137,1,3,1,3
138,7,5,1,3
139,1,5,2,3
140,4,2,1,1
141,0,4,1,2
142,1,2,1,2
143,3,1,2,2
144,11,5,1,3
145,4,2,1,2
146,11,5,1,3
147,14,1,1,3
148,3,3,1,2
149,0,5,1,2
150,4,5,1,3
151,1,3,1,3
152,3,3,1,2
153,1,1,3,2
154,1,1,1,3
155,6,4,2,3
156,1,3,1,2
157,3,2,1,1
158,1,2,1,3
159,8,3,2,2
160,1,3,2,2
161,10,2,1,2
162,1,4,1,2
163,3,3,3,2
164,3,3,1,2
165,10,2,1,2
166,1,1,3,2
167,3,3,1,1
168,3,1,1,2
169,3,3,1,2
170,1,2,1,3
171,5,1,2,3
172,4,5,2,3
173,1,3,1,2
174,5,1,1,2
175,11,5,2,3
176,10,4,1,2
177,6,4,2,3
178,4,2,1,3
179,14,4,1,2
180,1,1,1,2
181,4,5,1,2
182,1,3,1,3
183,4,1,1,2
184,1,3,1,3
185,4,3,1,3
186,3,1,1,3
187,5,4,1,2
188,1,5,1,3
189,4,1,1,2
190,3,1,1,1
191,10,1,2,2
192,4,5,1,2
193,14,4,2,3
194,1,2,2,3
195,10,2,1,3
196,4,2,1,2
197,1,1,1,3
198,3,1,1,2
199,10,1,1,3
200,3,2,2,3
201,1,1,1,3
202,10,4,1,2
203,1,2,1,3
204,4,5,1,3
205,4,2,2,3
206,1,2,2,3
207,10,1,1,3
208,3,2,1,1
209,4,3,1,1
210,4,3,1,3
211,8,5,1,3
212,10,2,2,3
213,3,3,1,1
214,1,2,2,2
215,1,1,1,3
216,3,1,2,1
217,3,5,2,3
218,4,1,1,2
219,4,2,1,2
220,1,1,1,2
221,1,2,1,3
222,1,2,1,3
223,1,5,1,3
224,3,5,1,3
225,12,4,1,2
226,3,1,1,3
227,4,2,1,1
228,3,1,1,2
